LIB,VER,Z,SYM,A,M,MF,MT,LIBORIG,VERORIG
JEFF,3.2,75,Re,188,g,3,24,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,67,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,25,JEFF,3.2
JEFF,3.2,74,W,186,g,4,54,JEFF,3.2
JEFF,3.2,74,W,184,g,12,58,JEFF,3.2
JEFF,3.2,74,W,182,g,12,64,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,11,JEFF,3.2
JEFF,3.2,74,W,186,g,4,55,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,182,g,12,65,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,68,JEFF,3.2
JEFF,3.2,74,W,183,g,12,51,JEFF,3.2
JEFF,3.2,74,W,184,g,12,59,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,69,JEFF,3.2
JEFF,3.2,74,W,184,g,12,61,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,186,g,4,56,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,29,JEFF,3.2
JEFF,3.2,74,W,183,g,12,52,JEFF,3.2
JEFF,3.2,74,W,182,g,12,66,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,28,JEFF,3.2
JEFF,3.2,74,W,184,g,12,62,JEFF,3.2
JEFF,3.2,74,W,186,g,4,57,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,71,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,182,g,12,67,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,16,JEFF,3.2
JEFF,3.2,74,W,183,g,12,53,JEFF,3.2
JEFF,3.2,74,W,186,g,4,58,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,72,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,12,63,JEFF,3.2
JEFF,3.2,74,W,182,g,12,68,JEFF,3.2
JEFF,3.2,74,W,182,g,12,91,JEFF,3.2
JEFF,3.2,74,W,183,g,12,54,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,32,JEFF,3.2
JEFF,3.2,74,W,186,g,4,59,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,17,JEFF,3.2
JEFF,3.2,74,W,183,g,12,55,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,73,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,33,JEFF,3.2
JEFF,3.2,74,W,184,g,12,64,JEFF,3.2
JEFF,3.2,74,W,186,g,4,61,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,182,g,12,69,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,22,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,34,JEFF,3.2
JEFF,3.2,74,W,186,g,4,62,JEFF,3.2
JEFF,3.2,74,W,184,g,12,65,JEFF,3.2
JEFF,3.2,74,W,186,g,4,63,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,74,JEFF,3.2
JEFF,3.2,74,W,183,g,12,56,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,24,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,25,JEFF,3.2
JEFF,3.2,74,W,184,g,12,66,JEFF,3.2
JEFF,3.2,74,W,186,g,4,64,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,75,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,182,g,12,104,JEFF,3.2
JEFF,3.2,74,W,182,g,12,102,JEFF,3.2
JEFF,3.2,74,W,183,g,12,57,JEFF,3.2
JEFF,3.2,74,W,182,g,12,103,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,76,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,186,g,4,65,JEFF,3.2
JEFF,3.2,74,W,184,g,12,67,JEFF,3.2
JEFF,3.2,74,W,182,g,12,105,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,42,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,37,JEFF,3.2
JEFF,3.2,74,W,183,g,12,58,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,41,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,77,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,28,JEFF,3.2
JEFF,3.2,74,W,183,g,12,61,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,12,91,JEFF,3.2
JEFF,3.2,74,W,186,g,4,66,JEFF,3.2
JEFF,3.2,74,W,184,g,12,68,JEFF,3.2
JEFF,3.2,74,W,182,g,12,106,JEFF,3.2
JEFF,3.2,74,W,183,g,12,59,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,78,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,44,JEFF,3.2
JEFF,3.2,74,W,183,g,12,62,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,32,JEFF,3.2
JEFF,3.2,74,W,186,g,4,67,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,79,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,45,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,33,JEFF,3.2
JEFF,3.2,74,W,183,g,12,63,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,34,JEFF,3.2
JEFF,3.2,74,W,184,g,12,103,JEFF,3.2
JEFF,3.2,74,W,183,g,12,91,JEFF,3.2
JEFF,3.2,74,W,182,g,14,16,JEFF,3.2
JEFF,3.2,74,W,186,g,4,68,JEFF,3.2
JEFF,3.2,74,W,183,g,12,64,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,12,104,JEFF,3.2
JEFF,3.2,74,W,182,g,14,17,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,91,JEFF,3.2
JEFF,3.2,74,W,182,g,12,107,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,51,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,12,105,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,37,JEFF,3.2
JEFF,3.2,74,W,184,g,12,102,JEFF,3.2
JEFF,3.2,74,W,184,g,12,106,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,52,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,41,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,102,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,103,JEFF,3.2
JEFF,3.2,74,W,182,g,14,24,JEFF,3.2
JEFF,3.2,74,W,183,g,12,104,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,42,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,53,JEFF,3.2
JEFF,3.2,74,W,186,g,6,5,JEFF,3.2
JEFF,3.2,74,W,182,g,14,22,JEFF,3.2
JEFF,3.2,74,W,183,g,12,102,JEFF,3.2
JEFF,3.2,74,W,183,g,12,103,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,54,JEFF,3.2
JEFF,3.2,74,W,182,g,14,28,JEFF,3.2
JEFF,3.2,74,W,183,g,12,105,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,104,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,44,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,12,107,JEFF,3.2
JEFF,3.2,74,W,182,g,14,41,JEFF,3.2
JEFF,3.2,74,W,183,g,12,106,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,14,16,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,55,JEFF,3.2
JEFF,3.2,74,W,184,g,14,17,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,105,JEFF,3.2
JEFF,3.2,74,W,184,g,14,22,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,56,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,57,JEFF,3.2
JEFF,3.2,74,W,183,g,14,16,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,106,JEFF,3.2
JEFF,3.2,74,W,186,g,6,16,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,91,JEFF,3.2
JEFF,3.2,74,W,186,g,6,24,JEFF,3.2
JEFF,3.2,74,W,183,g,12,107,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,102,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,103,JEFF,3.2
JEFF,3.2,74,W,184,g,14,24,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,58,JEFF,3.2
JEFF,3.2,74,W,182,g,14,51,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,107,JEFF,3.2
JEFF,3.2,74,W,183,g,14,17,JEFF,3.2
JEFF,3.2,74,W,184,g,14,28,JEFF,3.2
JEFF,3.2,74,W,186,g,6,22,JEFF,3.2
JEFF,3.2,74,W,186,g,6,17,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,104,JEFF,3.2
JEFF,3.2,74,W,182,g,14,52,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,59,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,108,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,105,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,186,g,6,41,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,61,JEFF,3.2
JEFF,3.2,74,W,182,g,14,53,JEFF,3.2
JEFF,3.2,74,W,184,g,14,41,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,111,JEFF,3.2
JEFF,3.2,74,W,183,g,14,22,JEFF,3.2
JEFF,3.2,74,W,183,g,14,24,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,106,JEFF,3.2
JEFF,3.2,74,W,186,g,6,28,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,62,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,76,Os,187,g,1,451,JEFF,3.2
JEFF,3.2,74,W,186,g,6,103,JEFF,3.2
JEFF,3.2,74,W,182,g,14,54,JEFF,3.2
JEFF,3.2,74,W,183,g,14,28,JEFF,3.2
JEFF,3.2,74,W,184,g,14,51,TENDL,2009
JEFF,3.2,76,Os,187,g,2,151,JEFF,3.2
